device_eui;tijdstip;verbruik
7CC6C40800001265;2022101318;399
7CC6C40800001265;2022101319;798
7CC6C40800001265;2022101320;750
7CC6C40800001265;2022101321;736
7CC6C40800001265;2022102719;1825
7CC6C40800001265;2022102720;303
7CC6C40800001265;2022102721;333
7CC6C40800001265;2022102722;362
7CC6C40800001265;2022102723;309
7CC6C40800001265;2022102801;549
7CC6C40800001265;2022102802;225
7CC6C40800001265;2022102803;224
7CC6C40800001265;2022102804;187
7CC6C40800001265;2022102805;163
7CC6C40800001265;2022102806;149
7CC6C40800001265;2022102807;124
7CC6C40800001265;2022102808;139
7CC6C40800001265;2022102809;351
7CC6C40800001265;2022102810;498
7CC6C40800001265;2022102811;428
7CC6C40800001265;2022102812;411
7CC6C40800001265;2022102813;415
7CC6C40800001265;2022102814;428
7CC6C40800001265;2022102815;43
7CC6C40800001265;2022102816;6
7CC6C40800001265;2022102817;5
7CC6C40800001265;2022102818;6
7CC6C40800001265;2022102819;5
7CC6C40800001265;2022102820;5
7CC6C40800001265;2022102821;6
7CC6C40800001265;2022102822;5
7CC6C40800001265;2022102823;6
7CC6C40800001265;2022102900;5
7CC6C40800001265;2022102901;5
7CC6C40800001265;2022102902;6
7CC6C40800001265;2022102903;5
7CC6C40800001265;2022102904;6
7CC6C40800001265;2022102905;5
7CC6C40800001265;2022102906;6
7CC6C40800001265;2022102907;5
7CC6C40800001265;2022102908;6
7CC6C40800001265;2022102909;5
7CC6C40800001265;2022102910;5
7CC6C40800001265;2022102911;5
7CC6C40800001265;2022102912;6
7CC6C40800001265;2022102913;5
7CC6C40800001265;2022102914;5
7CC6C40800001265;2022102915;6
7CC6C40800001265;2022102916;5
7CC6C40800001265;2022102917;6
7CC6C40800001265;2022102918;5
7CC6C40800001265;2022102919;5
7CC6C40800001265;2022102920;6
7CC6C40800001265;2022102921;1244
7CC6C40800001265;2022102922;5
7CC6C40800001265;2022102923;5
7CC6C40800001265;2022103000;6
7CC6C40800001265;2022103001;5
7CC6C40800001265;2022103002;6
7CC6C40800001265;2022103003;5
7CC6C40800001265;2022103004;6
